#,曝光,光圈,焦距,镜头,镜头模型,胶片,ISO,画幅,日期,位置,纬度,经度,备注,星级
"1","1/30s","ƒ:5.6","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2025年12月31日 15:09","丽水市, CN","28.452242151860855","119.57021104803708","","0"
"2","1/60s","ƒ:8","150mm","CF150","Carl Zeiss Sonnar T* 150mm f/4 CF","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 10:38","丽水市, CN","28.52490562062564","119.5090517643063","","0"
"3","1/60s","ƒ:5.6","150mm","CF150","Carl Zeiss Sonnar T* 150mm f/4 CF","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 10:42","丽水市, CN","28.525046171487688","119.50905791307079","","0"
"4","1/60s","ƒ:5.6","150mm","CF150","Carl Zeiss Sonnar T* 150mm f/4 CF","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 10:46","丽水市, CN","28.52507525589753","119.5090162368584","","0"
"5","1/60s","ƒ:2.8","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 12:15","西屏山公园, 环城西路与府前街交叉口西北140米, 丽水市, CN","28.45035812159673","119.48105599047798","","0"
"6","1/125s","ƒ:8","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 12:29","西屏山公园, 环城西路, 88号, 丽水市, CN","28.451088436261557","119.48173944424447","","0"
"7","1/125s","ƒ:5.6","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 14:38","西里段, 丽水市, CN","28.463433083810912","119.54267257397898","","0"
"8","1/60s","ƒ:11","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 14:45","丽水市, CN","28.46256445296633","119.54265120019848","","0"
"9","1/125s","ƒ:8","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 14:48","丽水市, CN","28.462592914508548","119.5430315135779","","0"
"10","1/125s","ƒ:11","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 14:53","丽水市, CN","28.46300622823199","119.54348106773914","","0"
"11","1/60s","ƒ:8","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 15:03","丽水市, CN","28.463105842736933","119.54143006392543","","0"
"12","1/60s","ƒ:8","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 15:03","丽水市, CN","28.463105842736933","119.54143006392543","","0"
"13","1/60s","ƒ:8","80mm","C80","Carl Zeiss Planar 80mm f/2.8 C","Fujifilm Fujichrome Provia 100F","100","6x6","2026年1月2日 15:03","丽水市, CN","28.463105842736933","119.54143006392543","","0"